timestamp,src,dst,sport,dport,proto,length
1762940553.6539397,102.198.75.181,172.16.10.43,12374,65385,UDP,536
1762939705.672358,172.16.10.43,230.109.82.148,10029,12783,TCP,1142
1762941569.5205483,172.16.10.43,143.190.227.246,39158,23100,ICMP,1090
1762940160.2613478,172.16.10.43,22.182.157.14,61352,13366,ICMP,395
1762940240.281229,172.16.10.43,32.108.94.131,38266,23073,UDP,338
1762940723.391136,27.56.10.78,172.16.10.43,13289,44152,ICMP,720
1762939814.397591,172.16.10.43,27.187.245.209,17563,54126,UDP,655
1762940259.1309261,172.16.10.43,50.115.20.227,53686,45262,UDP,766
1762940788.1425128,172.16.10.43,68.216.42.223,32313,38718,UDP,1078
1762941373.0770314,172.16.10.43,51.4.31.119,18116,21213,TCP,1463
1762941382.0149796,135.156.180.129,172.16.10.43,65073,4595,UDP,940
1762939987.529564,172.16.10.43,255.202.246.40,45445,61125,ICMP,534
1762941031.142545,172.16.10.43,95.213.204.201,1239,15854,ICMP,1139
1762940516.8408463,172.16.10.43,238.193.123.188,27928,43400,TCP,286
1762939776.4735243,172.16.10.43,36.2.218.225,29999,40739,TCP,947
1762939876.4539645,172.16.10.43,199.25.10.123,7855,18360,ICMP,971
1762940815.7224376,172.16.10.43,185.144.133.247,6286,53589,TCP,1499
1762940847.5936694,34.180.79.86,172.16.10.43,8617,27513,TCP,912
1762940202.174192,77.183.102.181,172.16.10.43,40483,47431,ICMP,1257
1762939859.2528222,172.16.10.43,163.103.247.236,17357,13793,TCP,72
1762941574.0385263,172.16.10.43,47.141.105.144,9427,65401,TCP,1038
1762940410.5220509,205.128.178.130,172.16.10.43,65198,63795,TCP,512
1762939738.3550715,148.160.39.103,172.16.10.43,25552,45874,UDP,409
1762941516.1322143,172.16.10.43,5.141.252.48,64572,10638,ICMP,732
1762941575.949132,35.66.23.90,172.16.10.43,3969,60199,ICMP,372
1762940981.521064,172.16.10.43,248.108.155.65,42587,313,TCP,1276
1762941342.8811398,172.16.10.43,135.126.153.89,14955,60105,TCP,950
1762940856.4579442,172.16.10.43,3.20.95.207,41172,58208,TCP,868
1762940799.1230183,172.16.10.43,23.204.56.94,58230,53227,UDP,1094
1762940779.671154,212.144.200.94,172.16.10.43,46116,3635,UDP,343
1762940551.8405797,28.240.68.85,172.16.10.43,44764,30487,ICMP,375
1762940523.8754766,172.16.10.43,207.229.38.120,27036,850,TCP,161
1762940813.9703007,172.16.10.43,254.142.232.127,1955,16377,TCP,725
1762940570.6306353,221.122.99.208,172.16.10.43,54092,6085,ICMP,1413
1762940737.020549,172.16.10.43,83.246.140.142,33457,44313,TCP,988
1762940492.5195706,172.16.10.43,142.64.206.60,9784,59754,UDP,1003
1762941153.885997,100.22.156.109,172.16.10.43,37157,40970,ICMP,915
1762941223.2454689,172.16.10.43,122.117.85.135,51004,27116,ICMP,41
1762940596.8712082,172.16.10.43,74.47.66.77,30109,16833,ICMP,80
1762941210.8591094,233.36.218.218,172.16.10.43,30314,23660,TCP,448
1762939823.6765418,49.239.183.67,172.16.10.43,7860,33640,UDP,1095
1762939956.073461,172.16.10.43,152.242.180.47,7995,40454,ICMP,185
1762939677.573665,172.16.10.43,166.155.85.118,57706,33352,ICMP,1307
1762939705.4052198,172.16.10.43,69.102.141.211,19220,50403,UDP,299
1762939868.0401115,56.32.230.184,172.16.10.43,1210,21483,ICMP,1148
1762939926.7098646,172.16.10.43,195.171.100.143,63674,31092,TCP,495
1762940638.8797917,201.102.28.128,172.16.10.43,12602,53979,ICMP,230
1762940775.972524,144.243.199.247,172.16.10.43,54931,36322,UDP,1119
1762940024.4557667,218.87.58.121,172.16.10.43,19559,11153,UDP,647
1762941473.6226578,172.16.10.43,21.237.172.175,19349,21754,TCP,1431
1762941213.3519647,194.222.211.103,172.16.10.43,14348,29436,UDP,684
1762940163.4111083,172.16.10.43,51.205.43.121,44176,29628,TCP,339
1762941098.5819314,172.16.10.43,225.138.4.33,18431,46224,ICMP,476
1762940584.768301,128.175.156.128,172.16.10.43,19678,26279,ICMP,89
1762940937.5721998,172.16.10.43,171.210.52.114,41261,29156,UDP,638
1762940512.505488,172.16.10.43,139.160.36.171,47380,38277,ICMP,256
1762941227.5543575,172.16.10.43,246.59.182.64,24849,63411,TCP,1385
1762941275.5577593,172.16.10.43,11.115.183.124,54291,26448,ICMP,1017
1762940453.9911275,172.16.10.43,191.92.74.175,65385,7618,ICMP,708
1762939858.4423182,87.112.42.29,172.16.10.43,30396,65495,TCP,874
1762939793.7034724,171.10.81.28,172.16.10.43,9390,38399,TCP,728
1762941172.2577882,172.16.10.43,65.220.190.59,31491,60343,TCP,114
1762939874.17496,174.235.59.165,172.16.10.43,58465,37249,UDP,1294
1762941429.909698,222.105.38.78,172.16.10.43,2796,20057,UDP,1492
1762939657.3357863,75.23.68.134,172.16.10.43,22915,53068,TCP,518
1762939982.2560859,172.16.10.43,101.210.148.60,13602,23323,TCP,1479
1762941039.542681,172.16.10.43,24.174.58.89,23297,65364,ICMP,385
1762941303.7977514,172.16.10.43,49.73.166.184,38739,63509,TCP,1388
1762940789.4919088,172.16.10.43,93.115.225.179,8048,51577,TCP,576
1762939776.8612015,248.241.187.43,172.16.10.43,60704,17804,UDP,509
1762940983.9398296,105.130.6.114,172.16.10.43,4870,11639,UDP,1273
1762940844.3690007,172.16.10.43,246.34.142.198,12864,4618,UDP,619
1762939801.3264356,140.50.52.79,172.16.10.43,14499,58755,ICMP,1014
1762940488.8983166,249.187.130.18,172.16.10.43,52861,34197,UDP,585
1762940908.9439516,31.196.85.225,172.16.10.43,39504,19945,UDP,1124
1762940153.4487028,95.45.81.15,172.16.10.43,14289,14263,TCP,840
1762940822.2688603,163.162.73.164,172.16.10.43,57802,51242,ICMP,285
1762940078.6096158,172.16.10.43,95.221.224.13,61557,58787,TCP,55
1762939990.0414789,172.16.10.43,125.49.151.96,53241,43770,ICMP,329
1762941132.800308,172.16.10.43,165.228.26.109,58035,62025,UDP,187
1762940256.0207982,126.181.127.13,172.16.10.43,34093,51431,TCP,877
1762941302.7274203,179.47.108.162,172.16.10.43,21000,30873,TCP,597
1762940599.2839508,172.16.10.43,221.144.221.34,41520,14392,UDP,816
1762940901.1461751,172.16.10.43,41.14.176.162,989,49799,ICMP,1423
1762939977.5331845,172.16.10.43,195.183.243.60,37952,13821,TCP,421
1762940317.54559,175.215.101.41,172.16.10.43,3124,61193,ICMP,1477
1762939732.8984978,172.16.10.43,166.191.225.169,30634,2663,ICMP,376
1762939772.0916808,245.136.255.177,172.16.10.43,5536,1959,TCP,1080
1762941156.5890095,172.16.10.43,49.1.118.46,53262,2917,TCP,767
1762939683.4019725,172.16.10.43,220.248.6.44,13963,33130,TCP,1147
1762939710.1289074,169.108.33.252,172.16.10.43,35011,5391,TCP,1216
1762940855.5060875,99.29.1.115,172.16.10.43,34164,63612,TCP,888
1762940110.770768,172.16.10.43,159.171.106.221,4559,12564,UDP,97
1762940132.7362633,129.39.170.39,172.16.10.43,45684,31468,UDP,505
1762940212.3411772,127.41.27.81,172.16.10.43,5845,64565,TCP,363
1762941539.1490045,172.16.10.43,188.219.58.160,39292,41200,ICMP,365
1762940239.977577,172.16.10.43,215.36.183.42,60665,46667,TCP,753
1762941298.023196,18.151.28.86,172.16.10.43,22976,9641,ICMP,1319
1762939720.252616,159.216.75.43,172.16.10.43,33693,11176,UDP,892
1762941332.0409377,119.110.85.218,172.16.10.43,17040,34742,UDP,335
